iter	Logloss
0	0.5944384862
1	0.5214175372
2	0.4625177274
3	0.4198255041
4	0.3861643264
5	0.3560905346
6	0.3322735629
7	0.3147626496
8	0.3026082914
9	0.2883955294
10	0.2783285573
11	0.2695102116
12	0.2618093136
13	0.2552756298
14	0.2497073097
15	0.2454879316
16	0.2417426642
17	0.2381578384
18	0.2341952441
19	0.2305185973
20	0.2285923979
21	0.22698946
22	0.2246481665
23	0.2231283436
24	0.2214560487
25	0.2190848646
26	0.2169655447
27	0.2151968301
28	0.2136088507
29	0.211526692
30	0.2098888734
31	0.2078743847
32	0.2065479914
33	0.2050807792
34	0.2036348791
35	0.2024088734
36	0.2012497484
37	0.199877463
38	0.1992257817
39	0.1986073918
40	0.1974632227
41	0.1962426231
42	0.1952150541
43	0.1936007938
44	0.1923361762
45	0.1908719297
46	0.1900894495
47	0.188783006
48	0.1871589367
49	0.1855666358
50	0.1843344399
51	0.183593403
52	0.1821524541
53	0.1813378576
54	0.1804267595
55	0.1797738536
56	0.1790249252
57	0.1783252237
58	0.1777243003
59	0.1766442052
60	0.1761487147
61	0.1753224277
62	0.1746679133
63	0.173619054
64	0.17281051
65	0.1719271352
66	0.1708450719
67	0.1697169815
68	0.1683699343
69	0.1678044471
70	0.167395896
71	0.1668411737
72	0.1656994299
73	0.1645513795
74	0.1640398171
75	0.1629840989
76	0.1623705607
77	0.1614434585
78	0.1604952892
79	0.1593442797
80	0.1586852733
81	0.1577449266
82	0.1573139471
83	0.1569704104
84	0.1565016115
85	0.1558287605
86	0.1551654533
87	0.1547246525
88	0.1541519539
89	0.1535967111
90	0.1526738898
91	0.1512268541
92	0.1503684535
93	0.1498753696
94	0.1485449209
95	0.1479048144
96	0.1472678958
97	0.146483404
98	0.1457680663
99	0.1450019007
100	0.1439385533
101	0.1432916806
102	0.1427023213
103	0.1416015269
104	0.1407100839
105	0.1403272126
106	0.1395262411
107	0.138589332
108	0.1378614803
109	0.1374118126
110	0.136793164
111	0.1362090371
112	0.1356936674
113	0.1352366167
114	0.1346136249
115	0.1338113107
116	0.1328366066
117	0.1321397515
118	0.1313562602
119	0.1299772188
120	0.1295145708
121	0.1290738237
122	0.1284420545
123	0.1274123049
124	0.1268066059
125	0.1259386783
126	0.1251015609
127	0.1246430162
128	0.1241053511
129	0.1235696277
130	0.1228918695
131	0.1222457394
132	0.1213345474
133	0.1205388558
134	0.120194639
135	0.1194210743
136	0.1186970408
137	0.1182497744
138	0.1177559842
139	0.1172278579
140	0.1168749874
141	0.1161362401
142	0.1151879626
143	0.1146906848
144	0.1137649777
145	0.1128253056
146	0.1122155633
147	0.1116050235
148	0.1109468433
149	0.1102454949
150	0.1092115494
151	0.1088419807
152	0.1078927649
153	0.1072280256
154	0.105941118
155	0.10530541
156	0.1046085386
157	0.1041834159
158	0.1035756948
159	0.1030601968
160	0.1024040138
161	0.101627045
162	0.101137293
163	0.1007569534
164	0.1003892367
165	0.100100334
166	0.09977583943
167	0.09949856164
