iter	Passed	Remaining
0	231	462840
1	319	319159
2	411	274088
3	515	257265
4	632	252518
5	741	246483
6	862	245635
7	977	243477
8	1088	240758
9	1227	244208
10	1337	241802
11	1441	238780
12	1556	237930
13	1662	235891
14	1767	233884
15	1874	232405
16	1977	230713
17	2085	229581
18	2222	231748
19	2337	231375
20	2437	229718
21	2544	228808
22	2659	228627
23	2763	227566
24	2897	228864
25	3026	229762
26	3154	230503
27	3293	231933
28	3407	231559
29	3525	231538
30	3649	231777
31	3763	231471
32	3867	230501
33	3977	229982
34	4082	229192
35	4218	230138
36	4344	230495
37	4450	229808
38	4553	228958
39	4657	228193
40	4765	227709
41	4874	227234
42	4971	226242
43	5080	225836
44	5226	227077
45	5336	226691
46	5433	225786
47	5540	225328
48	5651	225012
49	5758	224595
50	5867	224235
51	5973	223763
52	6079	223322
53	6197	223355
54	6327	223762
55	6431	223266
56	6534	222744
57	6655	222838
58	6764	222540
59	6878	222389
60	6997	222441
61	7117	222482
62	7261	223249
63	7412	224223
64	7538	224424
65	7661	224498
66	7777	224400
67	7898	224403
68	8023	224543
69	8150	224715
70	8283	225051
71	8399	224920
72	8518	224854
73	8647	225067
74	8766	225000
75	8880	224806
76	8999	224756
77	9113	224574
78	9249	224904
79	9360	224645
80	9471	224400
81	9584	224182
82	9706	224182
83	9812	223816
84	9929	223709
85	10033	223296
86	10154	223272
87	10287	223511
88	10397	223255
89	10508	223011
90	10612	222626
91	10723	222405
92	10834	222163
93	10944	221920
94	11052	221627
95	11182	221780
96	11308	221859
97	11419	221622
98	11530	221412
99	11637	221117
100	11754	221005
101	11860	220698
102	11968	220427
103	12087	220360
104	12215	220468
105	12320	220143
106	12463	220503
107	12607	220865
108	12719	220662
109	12845	220713
110	12982	220938
111	13102	220864
112	13304	222179
113	13425	222103
114	13530	221775
115	13636	221476
116	13743	221191
117	13850	220903
118	13955	220596
119	14101	220924
120	14287	221876
121	14425	222052
122	14543	221942
123	14752	223186
124	14877	223162
125	15033	223599
126	15186	223965
127	15376	224888
128	15515	225036
129	15631	224851
130	15747	224675
131	15866	224534
132	16008	224724
133	16151	224917
134	16335	225669
135	16467	225695
136	16606	225822
137	16719	225587
138	16825	225274
139	16924	224851
140	17022	224433
141	17163	224571
142	17340	225187
143	17464	225099
144	17588	225010
145	17706	224843
146	17809	224493
147	17914	224167
148	18018	223837
149	18137	223700
150	18276	223797
151	18380	223462
152	18490	223219
153	18595	222902
154	18713	222753
155	18842	222727
156	18958	222546
157	19120	222914
158	19297	223436
159	19454	223722
160	19606	223953
161	19744	224012
162	19879	224036
163	20011	224034
164	20145	224043
165	20313	224423
166	20444	224404
167	20577	224395
